date,high,low,buyerGamma,sellerGamma
19/02/2026,69165,66176,68192,67777
20/02/2026,69066,65744,68032,66848
21/02/2026,69020,65877,66676,66303
22/02/2026,68851,67105,70472,69589
23/02/2026,69316,66236,70337,68256
24/02/2026,67931,63624,65497,65485
25/02/2026,65539,61736,66011,64176
26/02/2026,67919,64743,67041,66346
27/02/2026,80397,66965,73678,71911
28/02/2026,68403,64621,65224,63800
01/03/2026,65521,63089,64111,64067
02/03/2026,69059,65127,66058,65609
03/03/2026,69023,65077,66407,66311
04/03/2026,70055,65306,66845,65593
05/03/2026,73107,69779,70316,69757
06/03/2026,73489,68840,71696,71322
07/03/2026,72341,67903,68862,68206
08/03/2026,68954,66812,68718,68154
09/03/2026,69467,65371,68611,68116
10/03/2026,70003,65635,69139,68153
11/03/2026,71954,68429,70957,69237
12/03/2026,71281,67868,68640,68302
13/03/2026,71653,68090,69625,69288
14/03/2026,73552,70715,73547,71911
15/03/2026,71660,69807,70610,70539
16/03/2026,73746,70344,71383,70956
17/03/2026,75813,71723,72701,72139
18/03/2026,75941,72254,73198,72915
19/03/2026,74629,71437,72473,72356
20/03/2026,72012,67776,69573,68947
21/03/2026,72209,68680,69929,69756
22/03/2026,71609,69691,71084,70442
23/03/2026,70622,66840,69033,68705
24/03/2026,71856,67961,69794,69307
25/03/2026,72271,68406,70352,69558
26/03/2026,72824,69449,70725,70249
27/03/2026,97950,68747,78845,76640
28/03/2026,69343,65963,66859,66004
29/03/2026,67534,65463,67525,65569
30/03/2026,68353,64984,67194,66261
31/03/2026,69070,65788,66668,66481
01/04/2026,68313,64672,68856,68577
02/04/2026,70859,66609,69364,68069
03/04/2026,68173,64945,66369,66212
04/04/2026,67835,65914,66913,66371
05/04/2026,67574,66189,66851,66761
06/04/2026,68229,65847,67027,66844
07/04/2026,70855,67776,69233,68319
08/04/2026,70121,66800,67661,67197
09/04/2026,73021,70029,71379,70794
10/04/2026,72197,68930,71340,71274
11/04/2026,73236,70622,72404,71850
12/04/2026,73890,71864,72183,70265
13/04/2026,73071,69683,71146,69645
14/04/2026,72504,69738,71008,70996
15/04/2026,75747,72946,74338,73774
16/04/2026,75998,72621,74424,73688
17/04/2026,75324,71781,74928,74201
18/04/2026,77379,74248,76525,76502
19/04/2026,77074,75573,76492,75765
20/04/2026,76335,73671,75243,73736
21/04/2026,76221,73426,75506,74763
22/04/2026,77460,74407,76135,75735
23/04/2026,79473,76311,78141,77412
24/04/2026,78277,71397,76809,75869
25/04/2026,78855,76356,78014,76886
26/04/2026,78215,76574,77972,77530
27/04/2026,79096,76458,78430,77104
28/04/2026,79234,76542,77652,76643
29/04/2026,77705,74947,75830,75217
30/04/2026,77568,75074,76639,76268
01/05/2026,77461,74749,76128,75940
02/05/2026,78788,77096,77891,77674
03/05/2026,79024,77472,79121,77998
04/05/2026,79689,77359,78326,78122
05/05/2026,80702,77941,79446,79282
06/05/2026,82226,79025,80898,80548
07/05/2026,82807,79971,81375,81190
08/05/2026,80972,79087,80079,80038
09/05/2026,80896,78855,80635,80246
10/05/2026,81535,79734,80730,80391
11/05/2026,81779,79712,80678,80167
12/05/2026,82463,79851,81911,80913
13/05/2026,81919,78981,80760,80465
14/05/2026,81570,79243,80977,80244
15/05/2026,81638,78044,82208,81090
16/05/2026,80475,78561,79478,79378
17/05/2026,79278,77485,78136,77692
18/05/2026,79386,76661,78943,77633
19/05/2026,78922,75873,76798,76685
