datetime,R,S,BG,SG
2025-12-14T00:59,113525,72475,107583,92835
2025-12-14T04:59,113525,72475,107583,92835
2025-12-14T08:59,113525,72475,107583,92835
2025-12-14T12:59,113525,72475,107583,92835
2025-12-14T16:59,113525,72475,107583,92835
2025-12-14T20:59,113525,72475,107583,92835
2025-12-15T00:59,95881,81631,92897,91722
2025-12-15T04:59,95881,81631,92897,91722
2025-12-15T08:59,95881,81631,92897,91722
2025-12-15T12:59,95881,81631,92897,91722
2025-12-15T16:59,95881,81631,92897,91722
2025-12-15T20:59,95881,81631,92897,91722
2025-12-16T00:59,97277,82460,91434,91350
2025-12-16T04:59,97277,82460,91434,91350
2025-12-16T08:59,97277,82460,91434,91350
2025-12-16T12:59,97277,82460,91434,91350
2025-12-16T16:59,97277,82460,91434,91350
2025-12-16T20:59,97277,82460,91434,91350
2025-12-17T00:59,90613,84168,88647,87339
2025-12-17T04:59,90613,84168,88647,87339
2025-12-17T08:59,90613,84168,88647,87339
2025-12-17T12:59,90613,84168,88647,87339
2025-12-17T16:59,90613,84168,88647,87339
2025-12-17T20:59,90613,84168,88647,87339
2025-12-18T00:59,89652,82920,89326,88457
2025-12-18T04:59,89652,82920,89326,88457
2025-12-18T08:59,89652,82920,89326,88457
2025-12-18T12:59,89652,82920,89326,88457
2025-12-18T16:59,89652,82920,89326,88457
2025-12-18T20:59,89652,82920,89326,88457
2025-12-19T00:59,93122,82283,91894,89077
2025-12-19T04:59,93122,82283,91894,89077
2025-12-19T08:59,93122,82283,91894,89077
2025-12-19T12:59,93122,82283,91894,89077
2025-12-19T16:59,93122,82283,91894,89077
2025-12-19T20:59,93122,82283,91894,89077
2025-12-20T00:59,89098,87277,88498,88074
2025-12-20T04:59,89098,87277,88498,88074
2025-12-20T08:59,89098,87277,88498,88074
2025-12-20T12:59,89098,87277,88498,88074
2025-12-20T16:59,89098,87277,88498,88074
2025-12-20T20:59,89098,87277,88498,88074
2025-12-21T00:59,90222,86429,89364,88856
2025-12-21T04:59,90222,86429,89364,88856
2025-12-21T08:59,90222,86429,89364,88856
